schema: c3332
total: 531

pos	coluna	tipo
249	codfrete	USER-DEFINED
250	valoricmsantec	USER-DEFINED
251	codfornicmsantec	USER-DEFINED
252	dtvencicmsantec	timestamp without time zone
253	valorinssoutrastransp	USER-DEFINED
254	aidf	character varying
255	acertopedagio	USER-DEFINED
256	codrota	USER-DEFINED
257	descsestsenatsaldoemp	USER-DEFINED
258	descirrfsaldoemp	USER-DEFINED
259	codfaturaentrega	USER-DEFINED
260	contatocliente	character varying
261	expseguro	USER-DEFINED
262	codfaturaentadto	USER-DEFINED
263	codfaturaentsaldo	USER-DEFINED
264	classificacaoembfreteemp	USER-DEFINED
265	dataexpseguro	timestamp without time zone
266	dataicmsantec	timestamp without time zone
267	chegoucliente	USER-DEFINED
268	codfatpagadiant	USER-DEFINED
269	codfatpagsaldo	USER-DEFINED
270	codfatpagpedagio	USER-DEFINED
271	codfatpagicms	USER-DEFINED
272	codfatpagestadia	USER-DEFINED
273	codfatpagbalsa	USER-DEFINED
274	codfatpagclassif	USER-DEFINED
275	codfatpagicmsantec	USER-DEFINED
276	codobsfiscal	USER-DEFINED
277	adiantamentoemp2	USER-DEFINED
278	codfaturaadiantemp2	USER-DEFINED
279	precotonempcomp	USER-DEFINED
280	freteempresacomp	USER-DEFINED
281	codfaturasaldocomp	USER-DEFINED
282	uschegousaldo	character varying
283	datachegousaldo	timestamp without time zone
284	cteloteenv	character varying
285	ctedataloteenv	timestamp without time zone
286	ctereciboenv	character varying
287	ctedatareciboenv	timestamp without time zone
288	ctechave	character varying
289	cteprot	character varying
290	ctestatus	character varying
291	obscanc	character varying
292	ctedatacanc	timestamp without time zone
293	cteprotcanc	character varying
294	datacancelado	timestamp without time zone
295	taxaseguro2	USER-DEFINED
296	descseguro2saldo	USER-DEFINED
297	descseguro2saldomot	USER-DEFINED
298	premioseguro2	USER-DEFINED
299	lacres	character varying
300	comissaoembarcador	USER-DEFINED
301	precometrocubico	USER-DEFINED
302	datasaidanf	timestamp without time zone
303	dataemissaonf	timestamp without time zone
304	codviatransporte	USER-DEFINED
305	permitepagarsaldofrota	USER-DEFINED
306	outrosdescontosmot2	USER-DEFINED
307	usuariopsaldo	character varying
308	usuariopadiant	character varying
309	usuarioppedagio	character varying
310	usuariopbalsa	character varying
311	usuariopicms	character varying
312	usuariopestadia	character varying
313	usuariopclassif	character varying
314	datadigpsaldo	timestamp without time zone
315	datadigpadiant	timestamp without time zone
316	datadigppedagio	timestamp without time zone
317	datadigpbalsa	timestamp without time zone
318	datadigpicms	timestamp without time zone
319	datadigpestadia	timestamp without time zone
320	datadigpclassif	timestamp without time zone
321	codfaturaquebrasegurada	USER-DEFINED
322	codemonitor	USER-DEFINED
323	codemonitorcanc	USER-DEFINED
324	ctemsgret	character varying
325	emonitorstatus	USER-DEFINED
326	estadiaembutidafrete	USER-DEFINED
327	numeroformulario	USER-DEFINED
328	uschegouadiant	character varying
329	datachegouadiant	timestamp without time zone
330	codtransadiant	USER-DEFINED
331	codtranssaldo	USER-DEFINED
332	codtranspedagio	USER-DEFINED
333	codtransestadia	USER-DEFINED
334	codtransicms	USER-DEFINED
335	codfatpagsestsenat	USER-DEFINED
336	codfatpagirrf	USER-DEFINED
337	codfatpaginss	USER-DEFINED
338	faturaautomatica	character
339	numeroconta	character varying
340	codfatpaginssemp	USER-DEFINED
341	datacaixaarq	timestamp without time zone
342	usuariocaixaarq	character varying
343	datacaixaarqsaldo	timestamp without time zone
344	usuariocaixaarqsaldo	character varying
345	valormercsegurada	USER-DEFINED
346	usuarioviacliente	character varying
347	dataviacliente	timestamp without time zone
348	modoemissao	character
349	selecionado	character
350	codfatpagquebra	USER-DEFINED
351	usuarioautcte	character varying
352	usuariocanccte	character varying
353	usuarioinutcte	character varying
354	arqxmlass	text
355	codunidadeembentrega	USER-DEFINED
356	codtipopagto	USER-DEFINED
357	precokgmerc	USER-DEFINED
358	precokgmercquebra	USER-DEFINED
359	codfatpagiss	USER-DEFINED
360	codmotcontingencia	USER-DEFINED
361	datainicontingencia	timestamp without time zone
362	obscontingencia	character varying
363	adtomot2	USER-DEFINED
364	codfornecedoradto2	USER-DEFINED
365	dtvencadto2	timestamp without time zone
366	codfatpagadto2	USER-DEFINED
367	usuariopadto2	character varying
368	datadigpadto2	timestamp without time zone
369	obsinut	character varying
370	ctedatainut	timestamp without time zone
371	cteprotinut	character varying
372	cartafrete	USER-DEFINED
373	codemonitorinut	USER-DEFINED
374	nomeseguradora	character varying
375	numeroapolice	character varying
376	respseguro	character
377	tipocte	character
378	horainiestadia	timestamp without time zone
379	horafimestadia	timestamp without time zone
380	chegouadto2	character
381	tiposinistro	character
382	resppedagio	character
383	tipopedagio	character
384	codfornecedor	USER-DEFINED
385	venccontrpedagio	timestamp without time zone
386	numerocartaopedagio	character varying
387	clientepagasaldomotorista	character
388	codadiantamento2	USER-DEFINED
389	codunidademedida	USER-DEFINED
390	codfaturaquebraseg	USER-DEFINED
391	pedidocliente2	character varying
392	nfedevchave	character varying
393	nfdevcnpj	character varying
394	nfdevmod	character varying
395	nfdevserie	character varying
396	nfdevvalor	USER-DEFINED
397	nfdevdata	timestamp without time zone
398	codmoeda	USER-DEFINED
399	descpedagiobasemot	character
400	desccargadescargabasemot	character
401	descicmsbasemot	character
